Rank,Name,Genre,Publisher
84,The Sims 3,Simulation,Electronic Arts
85,GoldenEye 007,Shooter,Nintendo
86,Mario & Sonic at the Olympic Games,Sports,Sega
87,Final Fantasy X,Role-Playing,Sony Computer Entertainment
88,Final Fantasy VIII,Role-Playing,SquareSoft
89,Pokémon Platinum Version,Role-Playing,Nintendo
90,Pac-Man,Puzzle,Atari
91,Grand Theft Auto: Liberty City Stories,Action,Take-Two Interactive
92,Super Mario Galaxy 2,Platform,Nintendo
93,Star Wars Battlefront (2015),Shooter,Electronic Arts
94,Call of Duty: Advanced Warfare,Shooter,Activision
95,The Legend of Zelda: Ocarina of Time,Action,Nintendo
96,Crash Bandicoot 2: Cortex Strikes Back,Platform,Sony Computer Entertainment
97,Super Mario Bros. 2,Platform,Nintendo
98,Super Smash Bros. for Wii U and 3DS,Fighting,Nintendo
99,Call of Duty: World at War,Shooter,Activision
100,Battlefield 3,Shooter,Electronic Arts
101,The Legend of Zelda: Twilight Princess,Action,Nintendo
102,Call of Duty: Black Ops 3,Shooter,Activision
103,Just Dance,Misc,Ubisoft
104,Battlefield 3,Shooter,Electronic Arts
105,Need for Speed Underground,Racing,Electronic Arts
106,Tekken 3,Fighting,Sony Computer Entertainment
107,Crash Bandicoot 3: Warped,Platform,Sony Computer Entertainment
108,Super Smash Bros. Melee,Fighting,Nintendo
109,Mario Kart 8,Racing,Nintendo
110,Fallout 4,Role-Playing,Bethesda Softworks
111,Mario Kart: Double Dash!!,Racing,Nintendo
112,Just Dance 4,Misc,Ubisoft
113,FIFA 14,Sports,Electronic Arts
114,Need for Speed Underground 2,Racing,Electronic Arts
115,Medal of Honor: Frontline,Shooter,Electronic Arts
116,Uncharted 3: Drake's Deception,Action,Sony Computer Entertainment
117,Crash Bandicoot,Platform,Sony Computer Entertainment
118,Zumba Fitness,Sports,505 Games
119,Gears of War 2,Shooter,Microsoft Game Studios
120,Uncharted 2: Among Thieves,Action,Sony Computer Entertainment
121,Call of Duty 4: Modern Warfare,Shooter,Activision
122,FIFA 12,Sports,Electronic Arts
123,Big Brain Academy,Misc,Nintendo
124,Red Dead Redemption,Action,Take-Two Interactive
125,FIFA 15,Sports,Electronic Arts
126,Donkey Kong Country Returns,Platform,Nintendo
127,The Elder Scrolls V: Skyrim,Role-Playing,Bethesda Softworks
128,The Legend of Zelda,Action,Nintendo
129,Assassin's Creed III,Action,Ubisoft
130,Halo: Combat Evolved,Shooter,Microsoft Game Studios
131,Pokémon Emerald Version,Role-Playing,Nintendo
132,Kingdom Hearts,Role-Playing,Sony Computer Entertainment
133,Pokémon Crystal Version,Role-Playing,Nintendo
134,Halo 3: ODST,Shooter,Microsoft Game Studios
135,Red Dead Redemption,Action,Take-Two Interactive
136,Super Mario Sunshine,Platform,Nintendo
137,Street Fighter II: The World Warrior,Fighting,Capcom
138,World of Warcraft,Role-Playing,Activision
139,Driver,Action,GT Interactive
140,Kinect Sports,Sports,Microsoft Game Studios
141,Gears of War 3,Shooter,Microsoft Game Studios
142,Gears of War,Shooter,Microsoft Game Studios
143,Metal Gear Solid 2: Sons of Liberty,Action,Konami Digital Entertainment
144,Sonic the Hedgehog 2,Platform,Sega
145,Metal Gear Solid 4: Guns of the Patriots,Action,Konami Digital Entertainment
146,Metal Gear Solid,Action,Konami Digital Entertainment
147,The Last of Us,Action,Sony Computer Entertainment Europe
148,Final Fantasy XII,Role-Playing,Square Enix
149,LittleBigPlanet,Platform,Sony Computer Entertainment
150,Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing,Nintendo
151,LEGO Star Wars: The Complete Saga,Action,LucasArts
152,Resident Evil 2,Action,Virgin Interactive
153,Tekken 2,Fighting,Sony Computer Entertainment
154,Cooking Mama,Simulation,505 Games
155,Destiny,Shooter,Activision
156,Tetris,Puzzle,Nintendo
157,Assassin's Creed II,Action,Ubisoft
158,Super Smash Bros.,Fighting,Nintendo
159,Assassin's Creed,Adventure,Ubisoft
160,Batman: Arkham City,Action,Warner Bros. Interactive Entertainment
161,Forza Motorsport 3,Racing,Microsoft Game Studios
162,Monster Hunter Freedom Unite,Role-Playing,Capcom
163,Super Mario Advance,Platform,Nintendo
164,Mario Kart: Super Circuit,Racing,Nintendo
165,Super Mario World,Platform,Nintendo
166,Pokemon Stadium,Strategy,Nintendo
167,Call of Duty: World at War,Shooter,Activision
168,Crash Bandicoot: The Wrath of Cortex,Platform,Universal Interactive
169,Minecraft,Misc,Sony Computer Entertainment
170,Final Fantasy XIII,Role-Playing,Square Enix
171,Dr. Mario,Puzzle,Nintendo
172,Pokemon Pinball,Misc,Nintendo
173,Assassin's Creed III,Action,Ubisoft
174,Final Fantasy IX,Role-Playing,SquareSoft
175,Final Fantasy X-2,Role-Playing,Electronic Arts
176,Donkey Kong 64,Platform,Nintendo
177,Assassin's Creed II,Action,Ubisoft
178,Professor Layton and the Curious Village,Puzzle,Nintendo
179,Tomb Raider II,Action,Eidos Interactive
180,Madden NFL 2004,Sports,Electronic Arts
181,Dragon Quest VIII: Journey of the Cursed King,Role-Playing,Square Enix
182,Diablo III,Role-Playing,Activision
183,Super Mario Bros. 3,Platform,Nintendo
184,New Super Mario Bros. U,Platform,Nintendo
185,Super Mario Land 3: Wario Land,Platform,Nintendo
186,FIFA Soccer 13,Action,Electronic Arts
187,The Legend of Zelda: Phantom Hourglass,Action,Nintendo
188,Donkey Kong Country 2: Diddy's Kong Quest,Platform,Nintendo
189,Tomodachi Life,Simulation,Nintendo
190,Mario & Sonic at the Olympic Games,Sports,Sega
191,Medal of Honor: Rising Sun,Shooter,Electronic Arts
192,Kirby's Dream Land,Platform,Nintendo
193,Fable III,Role-Playing,Microsoft Game Studios
194,Call of Duty: Advanced Warfare,Shooter,Activision
195,Microsoft Flight Simulator,Simulation,Microsoft Game Studios
196,Guitar Hero II,Misc,RedOctane
197,Resident Evil 5,Action,Capcom
198,Grand Theft Auto V,Action,Take-Two Interactive
199,Grand Theft Auto: Vice City Stories,Action,Take-Two Interactive
200,FIFA Soccer 11,Sports,Electronic Arts
201,Super Mario Bros.,Platform,Nintendo
202,Resident Evil,Action,Virgin Interactive
203,Tony Hawk's Pro Skater,Sports,Activision
204,Super Smash Bros. for Wii U and 3DS,Fighting,Nintendo
205,Warzone 2100,Strategy,Eidos Interactive
206,Spyro the Dragon,Platform,Sony Computer Entertainment
207,Link's Crossbow Training,Shooter,Nintendo
208,Guitar Hero III: Legends of Rock,Misc,Activision
209,Fallout 3,Role-Playing,Bethesda Softworks
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,Role-Playing,Nintendo
211,Uncharted: Drake's Fortune,Action,Sony Computer Entertainment
212,Madden NFL 06,Sports,Electronic Arts
213,LEGO Star Wars: The Complete Saga,Action,LucasArts
214,Diddy Kong Racing,Racing,Nintendo
215,Monster Hunter Freedom 3,Role-Playing,Capcom
216,Dr. Mario,Puzzle,Nintendo
217,God of War III,Action,Sony Computer Entertainment
218,StarCraft II: Wings of Liberty,Strategy,Activision
219,Assassin's Creed,Adventure,Ubisoft
220,FIFA 15,Sports,Electronic Arts
221,Crash Team Racing,Racing,Sony Computer Entertainment
222,FIFA 17,Sports,Electronic Arts
223,Batman: Arkham City,Action,Warner Bros. Interactive Entertainment
224,Driver 2,Action,Atari
225,The Simpsons: Hit & Run,Racing,Vivendi Games
226,Tony Hawk's Pro Skater 2,Sports,Activision
227,Animal Crossing: City Folk,Simulation,Nintendo
228,The Lord of the Rings: The Two Towers,Action,Electronic Arts
229,Forza Motorsport 4,Racing,Microsoft Game Studios
230,Tomb Raider,Action,Eidos Interactive
231,Guitar Hero III: Legends of Rock,Misc,Activision
232,The Legend of Zelda: A Link to the Past,Action,Nintendo
233,The Legend of Zelda: The Wind Waker,Action,Nintendo
234,Mario & Sonic at the Olympic Winter Games,Sports,Sega
235,Luigi's Mansion: Dark Moon,Action,Nintendo
236,Splatoon,Shooter,Nintendo
237,The Last of Us,Action,Sony Computer Entertainment
238,Guitar Hero III: Legends of Rock,Misc,Activision
239,Madden NFL 2005,Sports,Electronic Arts
240,Pitfall!,Platform,Activision
241,Madden NFL 07,Sports,Electronic Arts
242,Spider-Man: The Movie,Action,Activision
243,Dragon Quest VII: Warriors of Eden,Role-Playing,Enix Corporation
244,Uncharted: The Nathan Drake Collection,Action,Sony Computer Entertainment
245,Call of Duty: Advanced Warfare,Shooter,Activision
246,God of War,Action,Sony Computer Entertainment
247,Nintendo Land,Misc,Nintendo
248,Michael Jackson: The Experience,Misc,Ubisoft
249,Tony Hawk's Pro Skater 3,Sports,Activision
250,Winning Eleven: Pro Evolution Soccer 2007,Sports,Konami Digital Entertainment
251,The Elder Scrolls IV: Oblivion,Role-Playing,Take-Two Interactive
252,Zelda II: The Adventure of Link,Adventure,Nintendo
253,Need for Speed: Most Wanted,Racing,Electronic Arts
254,Resistance: Fall of Man,Shooter,Sony Computer Entertainment
255,Sonic the Hedgehog,Platform,Sega
256,Kingdom Hearts II,Role-Playing,Square Enix
257,FIFA 14,Sports,Electronic Arts
258,Call of Duty: Advanced Warfare,Shooter,Activision
259,Asteroids,Shooter,Atari
260,Fable II,Role-Playing,Microsoft Game Studios
261,Halo 5: Guardians,Shooter,Microsoft Game Studios
262,Super Mario 3D World,Platform,Nintendo
263,Batman: Arkham Asylum,Action,Eidos Interactive
264,Assassin's Creed: Revelations,Action,Ubisoft
265,Namco Museum,Misc,Namco Bandai Games
266,Metal Gear Solid 3: Snake Eater,Action,Konami Digital Entertainment
267,Daxter,Platform,Sony Computer Entertainment
268,Warcraft II: Tides of Darkness,Strategy,Activision
269,The Legend of Zelda: Ocarina of Time,Action,Nintendo
270,FIFA Soccer 06,Sports,Electronic Arts
271,EyeToy Play,Misc,Sony Computer Entertainment
272,Uncharted 4: A Thief's End,Shooter,Sony Computer Entertainment
273,Gran Turismo 5 Prologue,Racing,Sony Computer Entertainment
274,Assassin's Creed: Revelations,Action,Ubisoft
275,Street Fighter IV,Fighting,Capcom
276,FIFA 12,Sports,Electronic Arts
277,Teenage Mutant Ninja Turtles,Action,Palcom
278,Excitebike,Racing,Nintendo
279,Frogger,Action,Hasbro Interactive
280,Madden NFL 2003,Sports,Electronic Arts
281,Watch Dogs,Action,Ubisoft
282,Half-Life,Shooter,Vivendi Games
283,Super Mario World 2: Yoshi's Island,Platform,Nintendo
284,FIFA Soccer 07,Sports,Electronic Arts
285,The Legend of Zelda: Skyward Sword,Action,Nintendo
286,Street Fighter II Turbo,Fighting,Capcom
287,Carnival Games,Misc,Take-Two Interactive
288,Fallout 4,Role-Playing,Bethesda Softworks
289,World of Warcraft: The Burning Crusade,Role-Playing,Activision
290,Fallout: New Vegas,Role-Playing,Bethesda Softworks
291,God of War II,Action,Sony Computer Entertainment
292,Forza Motorsport 2,Racing,Microsoft Game Studios
293,World Soccer Winning Eleven 9,Sports,Konami Digital Entertainment
294,Namco Museum Vol.3,Misc,Sony Computer Entertainment
295,Tekken Tag Tournament,Fighting,Namco Bandai Games
296,Far Cry 4,Shooter,Ubisoft
297,Star Fox 64,Shooter,Nintendo
298,Minecraft,Misc,Sony Computer Entertainment Europe
299,Golf,Sports,Nintendo
300,Fallout 3,Role-Playing,Bethesda Softworks
301,Professor Layton and the Diabolical Box,Puzzle,Nintendo
302,Left 4 Dead 2,Shooter,Electronic Arts
303,Namco Museum: 50th Anniversary,Misc,Namco Bandai Games
304,EA Sports Active,Sports,Electronic Arts
305,Assassin's Creed: Unity,Action,Ubisoft
306,Donkey Kong Land,Platform,Nintendo
307,Tony Hawk's Underground,Sports,Activision
308,Assassin's Creed IV: Black Flag,Action,Ubisoft
309,Monster Hunter 4 Ultimate,Role-Playing,Nintendo
310,MotorStorm,Racing,Sony Computer Entertainment
311,The Elder Scrolls V: Skyrim,Role-Playing,Bethesda Softworks
312,Tekken 5,Fighting,Namco Bandai Games
313,Dragon Warrior III,Role-Playing,Enix Corporation
314,Sports Champions,Sports,Sony Computer Entertainment
315,NBA 2K16,Sports,Take-Two Interactive
316,World Soccer Winning Eleven 8 International,Sports,Konami Digital Entertainment
317,Flash Focus: Vision Training in Minutes a Day,Misc,Nintendo
318,Namco Museum Vol.1,Misc,Sony Computer Entertainment
319,The Legend of Zelda: Link's Awakening,Action,Nintendo
320,Mario & Luigi: Bowser's Inside Story,Role-Playing,Nintendo
321,Big Brain Academy: Wii Degree,Misc,Nintendo
322,Nintendogs + cats,Simulation,Nintendo
323,Batman: Arkham Knight,Action,Warner Bros. Interactive Entertainment
324,Mario & Sonic at the London 2012 Olympic Games,Sports,Sega
325,LEGO Indiana Jones: The Original Adventures,Action,Activision
326,Resident Evil Director's Cut,Action,Virgin Interactive
327,Ratchet & Clank: Size Matters,Platform,Sony Computer Entertainment
328,Just Dance 2014,Misc,Ubisoft
329,The Sims: Unleashed,Simulation,Electronic Arts
330,Super Paper Mario,Platform,Nintendo
331,Harry Potter and the Sorcerer's Stone,Action,Electronic Arts
332,The Witcher 3: Wild Hunt,Role-Playing,Namco Bandai Games
333,Resident Evil 3: Nemesis,Action,Eidos Interactive
334,Spyro: Year of the Dragon,Platform,Sony Computer Entertainment
335,FIFA Soccer 2005,Sports,Electronic Arts
336,Pokémon Trading Card Game,Strategy,Nintendo
337,Battlefield 4,Shooter,Electronic Arts
338,MySims,Simulation,Electronic Arts
339,Friend Collection,Misc,Nintendo
340,Tony Hawk's Pro Skater 4,Sports,Activision
341,Midnight Club 3: DUB Edition,Racing,Take-Two Interactive
342,Banjo-Kazooie,Platform,Nintendo
343,SOCOM: U.S. Navy SEALs,Shooter,Sony Computer Entertainment
344,Guitar Hero: World Tour,Misc,Activision
345,Gran Turismo 6,Racing,Sony Computer Entertainment
346,Jak and Daxter: The Precursor Legacy,Platform,Sony Computer Entertainment
347,Pokemon Snap,Simulation,Nintendo
348,FIFA Soccer 10,Sports,Electronic Arts
349,Pro Evolution Soccer 2008,Sports,Konami Digital Entertainment
350,Call of Duty: Ghosts,Shooter,Activision
351,Resident Evil 4,Action,Capcom
352,Tom Clancy's The Division,Shooter,Ubisoft
353,Star Wars: Battlefront,Shooter,LucasArts
354,Doom II: Hell on Earth,Shooter,Virgin Interactive
355,The Simpsons: Road Rage,Racing,Electronic Arts
356,Cooking Mama 2: Dinner With Friends,Simulation,505 Games
357,Luigi's Mansion,Action,Nintendo
358,Star Wars: Battlefront II,Shooter,LucasArts
359,WWF SmackDown!,Fighting,THQ
360,Croc: Legend of the Gobbos,Platform,Fox Interactive
361,Grand Theft Auto: Liberty City Stories,Action,Take-Two Interactive
362,The Getaway,Action,Sony Computer Entertainment
363,Tomb Raider III: Adventures of Lara Croft,Action,Eidos Interactive
364,James Bond 007: Agent Under Fire,Shooter,Electronic Arts
365,LEGO Star Wars: The Video Game,Action,Eidos Interactive
366,Battlefield 4,Shooter,Electronic Arts
367,FIFA Soccer 11,Sports,Electronic Arts
368,Rugrats in Paris: The Movie,Action,THQ
369,Spyro 2: Ripto's Rage!,Platform,Sony Computer Entertainment
370,Left 4 Dead,Shooter,Electronic Arts
371,Mario & Sonic at the Olympic Winter Games,Sports,Sega
372,Resident Evil 5,Action,Capcom
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,Platform,Nintendo
374,Assassin's Creed: Brotherhood,Action,Ubisoft
375,Kung Fu,Action,Nintendo
376,Batman: Arkham Asylum,Action,Eidos Interactive
377,Clubhouse Games,Misc,Nintendo
378,FIFA Soccer 2004,Sports,Electronic Arts
379,Star Wars Battlefront (2015),Shooter,Electronic Arts
380,Battlefield: Bad Company 2,Shooter,Electronic Arts
381,Guitar Hero: On Tour,Misc,Activision
382,Assassin's Creed: Unity,Action,Ubisoft
383,Far Cry 3,Shooter,Ubisoft
384,Monster Hunter 4,Role-Playing,Capcom
385,Borderlands,Shooter,Take-Two Interactive
386,Tekken 4,Fighting,Namco Bandai Games
387,Battlefield 4,Shooter,Electronic Arts
388,LittleBigPlanet 2,Platform,Sony Computer Entertainment
389,Grand Theft Auto 2,Action,Take-Two Interactive
390,Final Fantasy III,Role-Playing,SquareSoft
391,Spider-Man 2,Action,Activision
392,F-1 Race,Racing,Nintendo
393,FIFA Soccer 2003,Sports,Electronic Arts
394,Crash Bash,Misc,Sony Computer Entertainment
395,LEGO Batman: The Videogame,Action,Warner Bros. Interactive Entertainment
396,Metal Gear Solid V: The Phantom Pain,Action,Konami Digital Entertainment
397,The Legend of Zelda: Spirit Tracks,Action,Nintendo
398,WWF War Zone,Fighting,Acclaim Entertainment
399,The Legend of Zelda: Majora's Mask,Action,Nintendo
400,Professor Layton and the Unwound Future,Puzzle,Nintendo
401,Rugrats: Search For Reptar,Adventure,THQ
402,Assassin's Creed IV: Black Flag,Action,Ubisoft
403,English Training: Have Fun Improving Your Skills!,Misc,Nintendo
404,James Bond 007: Nightfire,Shooter,Electronic Arts
405,Ratchet & Clank,Platform,Sony Computer Entertainment
406,Mario Party 9,Misc,Nintendo
407,Star Wars Episode III: Revenge of the Sith,Action,LucasArts
408,Max Payne,Shooter,Take-Two Interactive
409,The Lord of the Rings: The Return of the King,Action,Electronic Arts
410,Assassin's Creed Syndicate,Action,Ubisoft
411,Destiny,Shooter,Activision
412,True Crime: Streets of LA,Action,Activision
413,Wii Music,Misc,Nintendo
414,Gran Turismo (PSP),Racing,Sony Computer Entertainment
415,Monster Hunter X,Action,Capcom
416,Tekken,Fighting,Sony Computer Entertainment
417,FIFA 16,Sports,Electronic Arts
418,L.A. Noire,Adventure,Take-Two Interactive
419,Madden NFL 16,Sports,Electronic Arts
420,Yokai Watch 2 Ganso/Honke,Role-Playing,Nintendo
421,007: Tomorrow Never Dies,Shooter,Electronic Arts
422,Baseball,Sports,Nintendo
423,Killer Instinct,Fighting,Nintendo
424,WWF SmackDown! 2: Know Your Role,Fighting,THQ
425,Crisis Core: Final Fantasy VII,Role-Playing,Square Enix
426,God of War: Chains of Olympus,Action,Sony Computer Entertainment
427,Dragon Quest VI: Maboroshi no Daichi,Role-Playing,Enix Corporation
428,Dance Central,Misc,MTV Games
429,Enter the Matrix,Action,Atari
430,Super Mario Maker,Platform,Nintendo
431,Fallout: New Vegas,Role-Playing,Bethesda Softworks
432,LEGO Batman: The Videogame,Action,Warner Bros. Interactive Entertainment
433,Rhythm Heaven,Misc,Nintendo
434,Ace Combat 04: Shattered Skies,Simulation,Sony Computer Entertainment Europe
435,Club Penguin: Elite Penguin Force,Adventure,Disney Interactive Studios
436,Animal Crossing,Simulation,Nintendo
437,LEGO Batman: The Videogame,Action,Warner Bros. Interactive Entertainment
438,Sonic Rush,Platform,Sega
439,Resident Evil 6,Shooter,Capcom
440,Halo: The Master Chief Collection,Shooter,Microsoft Game Studios
441,FIFA Soccer 08,Sports,Electronic Arts
442,Spider-Man,Action,Activision
443,Need for Speed III: Hot Pursuit,Racing,Electronic Arts
444,Star Wars Episode I Racer,Racing,Nintendo
445,Personal Trainer: Cooking,Misc,Nintendo
446,The Elder Scrolls IV: Oblivion,Role-Playing,Ubisoft
447,Dragon Warrior IV,Role-Playing,Enix Corporation
448,Heavy Rain,Adventure,Sony Computer Entertainment
449,Mass Effect 2,Role-Playing,Electronic Arts
450,FIFA 15,Sports,Electronic Arts
451,Dragon Ball Z: Budokai,Fighting,Atari
452,Madden NFL 2002,Sports,Electronic Arts
453,World Class Track Meet,Sports,Namco Bandai Games
454,Borderlands 2,Shooter,Take-Two Interactive
455,The Legend of Zelda: A Link Between Worlds,Action,Nintendo
456,Donkey Kong,Platform,Nintendo
457,The Sims: Vacation,Simulation,Electronic Arts
458,Mass Effect 3,Role-Playing,Electronic Arts
459,Kung Fu Panda,Action,Activision
460,Far Cry 3,Shooter,Ubisoft
461,Epic Mickey,Platform,Disney Interactive Studios
462,Saints Row 2,Action,THQ
463,Rayman,Platform,Ubisoft
464,Killzone 2,Shooter,Sony Computer Entertainment
465,Tom Clancy's Splinter Cell,Action,Ubisoft
466,Mike Tyson's Punch-Out!!,Fighting,Nintendo
467,WWE SmackDown! Shut Your Mouth,Sports,THQ
468,Gears of War: Ultimate Edition,Shooter,Microsoft Game Studios
469,NBA 2K13,Sports,Take-Two Interactive
470,Dragon Ball Z: Budokai Tenkaichi 3,Fighting,Atari
471,wwe Smackdown vs. Raw 2006,Fighting,
472,Middle-Earth: Shadow of Mordor,Action,Warner Bros. Interactive Entertainment
473,Star Fox,Shooter,Nintendo
474,The Sims: Livin Large,Misc,Electronic Arts
475,World Soccer Winning Eleven 6 International,Sports,Konami Digital Entertainment
476,Devil May Cry,Action,Capcom
477,Animal Crossing: Happy Home Designer,Simulation,Nintendo
478,Battlefield: Bad Company 2,Shooter,Electronic Arts
479,The Sims 4,Simulation,Electronic Arts
480,Star Wars: The Old Republic,Role-Playing,Electronic Arts
481,Sonic Heroes,Platform,Sega
482,Kirby Super Star Ultra,Platform,Nintendo
483,Hitman 2: Silent Assassin,Action,Eidos Interactive
484,Street Fighter IV,Fighting,Capcom
485,Wave Race 64,Racing,Nintendo
486,SOCOM II: U.S. Navy SEALs,Shooter,Sony Computer Entertainment
487,WWE SmackDown! vs. RAW 2006,Fighting,THQ
488,inFAMOUS,Action,Sony Computer Entertainment
489,Pac-Man Collection,Puzzle,Atari
490,Mass Effect,Role-Playing,Microsoft Game Studios
491,WarioWare: Smooth Moves,Puzzle,Nintendo
492,Cooking Mama: Cook Off,Simulation,505 Games
493,Super Mario World 2: Yoshi's Island,Platform,Nintendo
494,FIFA 14,Sports,Electronic Arts
495,Titanfall,Shooter,Electronic Arts
496,Sonic Mega Collection Plus,Misc,Sega
497,Sega Superstars Tennis,Sports,Sega
498,World Soccer Winning Eleven 7 International,Sports,Konami Digital Entertainment
499,Need for Speed: Most Wanted,Racing,Electronic Arts
500,Hot Shots Golf 3,Sports,Sony Computer Entertainment
501,Call of Duty: Finest Hour,Shooter,Activision
502,Zumba Fitness 2,Sports,Majesco Entertainment
503,Syphon Filter,Shooter,Sony Computer Entertainment
504,Imagine: Babyz,Simulation,Ubisoft
505,Colin McRae Rally,Racing,Codemasters
506,Call of Duty: Ghosts,Shooter,Activision
507,Madden NFL 13,Sports,Electronic Arts
508,The Elder Scrolls III: Morrowind,Role-Playing,Ubisoft
509,Mortal Kombat,Fighting,Warner Bros. Interactive Entertainment
510,F-Zero,Racing,Nintendo
511,Yoshi's Story,Platform,Nintendo
512,Command & Conquer: Red Alert,Strategy,Virgin Interactive
513,Skylanders: Spyro's Adventure,Action,Activision
514,FIFA 16,Sports,Electronic Arts
515,Assassin's Creed: Brotherhood,Action,Ubisoft
516,BioShock,Shooter,Take-Two Interactive
517,Madden NFL 10,Sports,Electronic Arts
518,Medal of Honor,Shooter,Electronic Arts
519,WWE SmackDown! vs. Raw,Fighting,THQ
520,Metroid Prime,Shooter,Nintendo
521,Finding Nemo,Action,THQ
522,Myst,Adventure,Red Orb
523,Need for Speed: Hot Pursuit,Racing,Electronic Arts
524,Imagine: Fashion Designer,Simulation,Ubisoft
525,WWE SmackDown! Here Comes the Pain,Fighting,THQ
526,Star Wars: The Force Unleashed,Action,LucasArts
527,Yoshi's Island DS,Platform,Nintendo
528,Hot Shots Golf,Sports,Sony Computer Entertainment
529,Killzone 3,Shooter,Sony Computer Entertainment
530,A Bug's Life,Platform,Sony Computer Entertainment
531,WWF SmackDown! Just Bring It,Fighting,THQ
532,Dragon Quest V: Tenkuu no Hanayome,Role-Playing,Enix Corporation
533,Mortal Kombat Trilogy,Fighting,GT Interactive
